playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
33,39,6.0,12.0,8279,Viktor Gyökeres,Viktor,Gyökeres,1998-06-04,Sweden,Centre-Forward,,9.0,2024-12-26T09:41:07Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
34,19,7.0,3.0,67299,Vangelis Pavlidis,Vangelis,Pavlidis,1998-11-21,Greece,Offence,,,2023-07-30T23:06:57Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
29,19,3.0,4.0,215434,Samu Omorodion,,Samu Aghehowa,,Spain,Centre-Forward,,,2024-11-26T09:43:13Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
31,14,3.0,3.0,141542,Clayton,,Clayton,1999-01-11,Brazil,Offence,,,2024-06-13T09:41:59Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
33,11,,4.0,141357,Alejandro Marqués,Alejandro,Marqués,2000-08-04,Venezuela,Centre-Forward,,,2024-11-01T22:50:30Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
30,11,10.0,,149737,Muhammed Kerem Aktürkoğlu,Kerem,Aktürkoğlu,1998-10-21,Turkey,Midfield,,,2024-06-12T17:56:51Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
34,11,4.0,,45401,Ricardo Horta,,Ricardo Horta,1994-09-15,Portugal,Left Winger,,,2024-11-01T22:50:30Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
33,11,2.0,2.0,553,Yanis Begraoui,Yanis,Begraoui,2001-07-04,France,Centre-Forward,,19.0,2025-05-17T09:42:46Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
27,10,3.0,4.0,14003,Cassiano,,Cassiano,1989-06-16,Brazil,Centre-Forward,,,2024-11-01T22:50:30Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
26,10,4.0,,261273,Rodrigo Mora,,Rodrigo Mora,2007-05-05,Portugal,Midfield,,,2024-07-12T09:45:44Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
34,9,14.0,,37332,Trincão,,Francisco Trincão,1999-12-29,Portugal,Left Winger,,,2025-05-30T09:41:08Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
33,9,2.0,3.0,127657,Félix Correia,,Félix Correia,2001-01-22,Portugal,Left Winger,,,2024-11-01T22:50:30Z,5533,Gil Vicente FC,Gil Vicente,GIL,https://crests.football-data.org/5533.png,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",http://www.gilvicentefc.pt,1924.0,Red / Blue,Estádio Cidade de Barcelos,2022-02-19T08:57:44Z,PPL,Primeira Liga,2024
33,9,4.0,4.0,154741,Óscar Aranda,,Óscar Aranda,2002-04-29,Spain,Left Winger,,,2024-11-01T22:50:30Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
19,8,,4.0,37363,Galeno,,Galeno,1997-10-22,Brazil,Left Winger,,,2024-11-01T22:50:30Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
33,8,,,118015,Vinícius,,Vinícius Lopes,1999-05-07,Brazil,Offence,,,2023-11-22T09:46:39Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
29,8,4.0,,169412,Marcos Vinicios,,Sorriso,2001-02-23,Brazil,Left Winger,,,2024-12-26T09:42:53Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
26,8,6.0,5.0,3210,Ángel di María,Ángel,Di María,1988-02-14,Argentina,Right Winger,,,2025-05-21T09:41:12Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
31,8,7.0,3.0,9553,Bruma,,Bruma,1994-10-24,Portugal,Left Winger,,,2024-11-01T22:50:30Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
29,7,,,171363,Ricardinho,,Ricardinho,1998-08-06,Portugal,Midfield,,,2023-05-01T19:32:38Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
33,7,1.0,,137515,Amine El Ouazzani,Amine,El Ouazzani,2001-07-15,Morocco,Offence,,,2024-08-04T23:09:44Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
31,7,5.0,5.0,169237,Alanzinho,,Alan,2000-03-08,Brazil,Attacking Midfield,,,2025-05-20T09:42:33Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
33,7,7.0,2.0,7474,Orkun Kökçü,Orkun,Kökçü,2000-12-29,Turkey,Central Midfield,,,2024-11-01T22:50:30Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
28,7,2.0,,122313,Zeki Amdouni,Zeki,Amdouni,2000-12-04,Switzerland,Offence,,,2024-06-12T17:56:51Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
22,7,,,243569,Gustavo Silva,,Gustavo Silva,1999-06-01,Brazil,Offence,,,2023-11-28T19:41:28Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
32,6,1.0,,79824,Kikas,,Kikas,1998-09-17,Portugal,Centre-Forward,,,2024-11-01T22:50:30Z,9136,CF Estrela da Amadora,Amadora,AMA,https://crests.football-data.org/9136.png,null null null,,,,Estádio Nacional,2023-07-31T12:07:04Z,PPL,Primeira Liga,2024
33,6,3.0,1.0,168766,Gabriel Silva,,Gabriel Silva,2002-03-22,Brazil,Offence,,,2023-07-30T23:15:44Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
26,6,2.0,3.0,177322,Henrique Araujo,,Henrique Araújo,2002-01-19,Portugal,Centre-Forward,,,2024-11-01T22:50:30Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
27,6,4.0,,16752,João Carvalho,,João Carvalho,1997-03-09,Portugal,Midfield,,,2024-04-10T09:48:39Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
33,6,2.0,,3205,Nicolás Otamendi,Nicolás,Otamendi,1988-02-12,Argentina,Centre-Back,,,2024-11-01T22:50:30Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
14,5,4.0,,92050,Pedro Gonçalves,,Pedro Gonçalves,1998-06-28,Portugal,Attacking Midfield,,,2024-11-01T22:50:30Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
28,5,1.0,5.0,37672,Miguel Reisinho,Miguel,Reisinho,1999-04-09,Portugal,Central Midfield,,,2024-11-01T22:50:30Z,810,Boavista FC,Boavista,BOA,https://crests.football-data.org/810.png,"Rua O Primeiro de Janeiro, Boavista Porto 4100-127",http://www.boavistafc.pt,1903.0,Black / White,Estádio do Bessa Século XXI,2022-07-26T17:39:01Z,PPL,Primeira Liga,2024
31,5,3.0,,245506,Luis Asué,,Luis Asué,2001-07-09,Equatorial Guinea,Centre-Forward,,,2024-11-01T22:50:30Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
31,5,5.0,1.0,44804,Kanya Fujimoto,Kanya,Fujimoto,1999-07-01,Japan,Attacking Midfield,,8.0,2024-11-01T22:50:30Z,5533,Gil Vicente FC,Gil Vicente,GIL,https://crests.football-data.org/5533.png,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",http://www.gilvicentefc.pt,1924.0,Red / Blue,Estádio Cidade de Barcelos,2022-02-19T08:57:44Z,PPL,Primeira Liga,2024
17,5,3.0,,171986,Nico Gonzalez,,Nico González,2002-01-03,Spain,Central Midfield,,,2024-11-01T22:50:30Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
30,5,3.0,,128825,Geny Catamo,Geny,Catamo,2001-01-26,Mozambique,Right Winger,,,2025-05-22T09:41:07Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
21,5,5.0,,171304,Nuno Moreira,,Nuno Moreira,1999-06-16,Portugal,Left Winger,,,2024-11-01T22:50:30Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
33,5,2.0,,143641,Alfonso Trezza,Alfonso,Trezza,1999-06-22,Uruguay,Right Winger,,19.0,2024-11-01T22:50:30Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
29,5,4.0,,206744,Conrad Harder,Conrad,Harder,2005-04-07,Denmark,Offence,,,2024-12-26T09:41:07Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
30,5,2.0,,1785,Gil Dias,,Gil Dias,1996-09-28,Portugal,Defence,,,2024-12-25T09:42:50Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
32,5,1.0,1.0,32949,Jason,,Jason,1994-07-06,Spain,Right Winger,,,2024-11-01T22:50:30Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
31,5,3.0,,37636,Guilherme Schettine,,Guilherme Schettine,1995-10-10,Brazil,Offence,,,2023-11-12T09:47:06Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
30,5,3.0,3.0,45274,Tiago Silva,,Tiago Silva,1993-06-02,Portugal,Attacking Midfield,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
33,5,,1.0,45350,Rodrigo Pinho,,Rodrigo Pinho,1991-05-30,Brazil,Centre-Forward,,,2024-11-01T22:50:30Z,9136,CF Estrela da Amadora,Amadora,AMA,https://crests.football-data.org/9136.png,null null null,,,,Estádio Nacional,2023-07-31T12:07:04Z,PPL,Primeira Liga,2024
32,5,1.0,1.0,140290,Róbert Boženík,Róbert,Boženík,1999-11-18,Slovakia,Centre-Forward,,,2024-11-01T22:50:30Z,810,Boavista FC,Boavista,BOA,https://crests.football-data.org/810.png,"Rua O Primeiro de Janeiro, Boavista Porto 4100-127",http://www.boavistafc.pt,1903.0,Black / White,Estádio do Bessa Século XXI,2022-07-26T17:39:01Z,PPL,Primeira Liga,2024
21,5,,,178755,Pablo Felipe,,Pablo,2004-01-02,Brazil,Offence,,,2025-05-17T09:42:49Z,5533,Gil Vicente FC,Gil Vicente,GIL,https://crests.football-data.org/5533.png,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",http://www.gilvicentefc.pt,1924.0,Red / Blue,Estádio Cidade de Barcelos,2022-02-19T08:57:44Z,PPL,Primeira Liga,2024
33,5,2.0,,145346,Telmo Arcanjo,,Telmo Arcanjo,2001-06-21,Cape Verde Islands,Attacking Midfield,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
32,5,2.0,,249234,André,,André Lacximicant,2001-05-19,Portugal,Left Winger,,,2025-05-17T09:42:46Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
27,4,,,2470,Nenê,,Nenê,1983-07-28,Brazil,Offence,,,2023-11-22T09:47:10Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
33,4,7.0,,187280,Gustavo Sa,,Gustavo Sá,2004-11-11,Portugal,Attacking Midfield,,,2024-11-01T22:50:30Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
34,4,2.0,,180185,Gabriel Martínez,,Gabriel Martínez,2003-01-22,Spain,Midfield,,,2024-08-05T08:21:36Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
19,4,5.0,1.0,121007,Rodrigo Zalazar,Rodrigo,Zalazar,1999-08-12,Uruguay,Central Midfield,,,2024-11-01T22:50:30Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
32,4,1.0,,103127,Daniel Penha,,Daniel Penha,1998-10-17,Brazil,Midfield,,,2023-07-18T14:15:54Z,5529,CD Nacional,CD Nacional,CDN,https://crests.football-data.org/5529.png,"Rua do Esmeraldo, n.º 46 Funchal 9060",http://www.cdnacional.pt,1910.0,Black / White,Estádio da Madeira,2023-06-02T09:42:46Z,PPL,Primeira Liga,2024
31,4,1.0,,37717,João Mendes,,João Mendes,1994-10-21,Portugal,Attacking Midfield,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
29,4,3.0,,161414,Ismaël Gharbi,Ismaël,Gharbi,2004-04-10,Spain,Attacking Midfield,,,2024-08-12T11:57:19Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
33,4,3.0,,74795,Bernardo Martins,,Benny,1997-12-04,Portugal,Midfield,,,2024-12-27T09:42:58Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
29,4,2.0,,180125,Santi García,,Santi García,2001-08-29,Spain,Attacking Midfield,,,2024-08-12T11:57:14Z,5533,Gil Vicente FC,Gil Vicente,GIL,https://crests.football-data.org/5533.png,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",http://www.gilvicentefc.pt,1924.0,Red / Blue,Estádio Cidade de Barcelos,2022-02-19T08:57:44Z,PPL,Primeira Liga,2024
28,4,1.0,,33130,Darío Poveda,,Darío Poveda,1997-03-13,Spain,Centre-Forward,,,2024-08-12T11:57:15Z,5602,SC Farense,Farense,FAR,https://crests.football-data.org/5602.png,"Praça de Tânger, Ginásio Sede Faro 8005-445",http://www.scfarense1910.blogspot.com,1910.0,Black / White,Estádio de São Lúis,2023-07-06T17:34:46Z,PPL,Primeira Liga,2024
32,4,,,150925,Tiago Fonseca Morais,,Tiago Morais,2003-09-03,Portugal,Left Winger,,,2025-05-20T09:42:31Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
26,4,3.0,,112948,Fabio Vieira,,Fábio Vieira,2000-05-30,Portugal,Attacking Midfield,,,2024-08-23T09:25:15Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
26,4,3.0,,45116,Jérémy Livolant,Jérémy,Livolant,1998-01-09,France,Midfield,,29.0,2024-08-04T23:09:44Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
16,4,,1.0,102579,Fran Navarro,,Fran Navarro,1998-02-03,Spain,Offence,,,2025-05-21T09:42:34Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
29,4,2.0,,172912,Demir Tiknaz,Demir,Tıknaz,2004-08-17,Turkey,Midfield,,,2023-10-26T09:44:50Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
15,4,,,147884,Simon Elisor,Simon,Elisor,1999-07-22,France,Centre-Forward,,33.0,2025-05-16T09:42:49Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
33,3,1.0,,178792,John Mercado,John,Mercado Cuero,2002-06-03,Ecuador,Offence,,,2024-09-01T09:46:17Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
32,3,,1.0,4289,Daniel Loader,Danny,Namaso,2000-08-28,England,Centre-Forward,,,2024-11-01T22:50:30Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
33,3,,,261163,João Costa,,João Costa,2000-03-07,Portugal,Offence,,,2024-12-27T09:43:00Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
31,3,4.0,,4003,Nélson Oliveira,,Nélson Oliveira,1991-08-08,Portugal,Centre-Forward,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
31,3,2.0,,176857,Jorge Aguirre,,Jorge Aguirre,2000-01-05,Spain,Offence,,,2024-07-11T09:43:10Z,5533,Gil Vicente FC,Gil Vicente,GIL,https://crests.football-data.org/5533.png,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",http://www.gilvicentefc.pt,1924.0,Red / Blue,Estádio Cidade de Barcelos,2022-02-19T08:57:44Z,PPL,Primeira Liga,2024
18,3,4.0,,102336,Daniel Bragança,,Daniel Bragança,1999-05-27,Portugal,Central Midfield,,,2024-11-01T22:50:30Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
